fecha,tuits_negativos,indice,recoleccion_promedio,tipo_usuario,lugar,tuits_positivos
2020-02-24,210871,1.77664276150991,83595.8571428571,todos,NAC,374300
2020-03-02,210000,1.75639779649939,82619.7142857143,todos,NAC,368338
2020-03-09,231688,1.56504988735091,84947.1428571429,todos,NAC,362942
2020-03-16,263636,1.49750756185558,94000.7142857143,todos,NAC,394369
2020-03-23,264683,1.52292904991479,95375.5714285714,todos,NAC,402946
2020-03-30,259562,1.53662438978012,93941.8571428571,todos,NAC,398031
2020-04-06,240721,1.57828689405009,88575.8571428571,todos,NAC,379310
2020-04-13,240442,1.57859388104339,88484.1428571429,todos,NAC,378947
2020-04-20,223388,1.67198156613911,85168.5714285714,todos,NAC,372792
2020-04-27,210719,1.64114804287789,79521.2857142857,todos,NAC,345930
2020-05-04,178979,1.65696164417959,79017.8333333333,todos,NAC,295128
2020-05-11,202013,1.67134467510417,77084.7142857143,todos,NAC,337580
2020-05-18,201345,1.65591898435235,76387,todos,NAC,333364
2020-05-25,204602,1.64298322144797,77246.4285714286,todos,NAC,336123
2020-06-01,218126,1.54570277557796,79250.1428571429,todos,NAC,336625
2020-06-08,200743,1.66368177597366,76265.2857142857,todos,NAC,333114
2020-06-15,205993,1.64717367968623,77700.8571428571,todos,NAC,337913
2020-06-22,201512,1.70015119612374,77590.2857142857,todos,NAC,341620
2020-06-29,192813,1.72657459865851,75020,todos,NAC,332327
2020-07-06,189767,1.76837559205715,75017.5714285714,todos,NAC,335356
2020-07-13,189009,1.75476329732315,74375.7142857143,todos,NAC,331621
2020-07-20,180718,1.8131781031232,72645.5714285714,todos,NAC,327801
2020-07-27,184242,1.76242448386361,72637.7142857143,todos,NAC,324222
2020-08-03,174056,1.79631181111494,69500.1428571429,todos,NAC,312445
2020-08-10,183710,1.78254263287189,72973.2857142857,todos,NAC,327103
2020-08-17,182952,1.76369155176028,72133.8571428571,todos,NAC,321985
2020-08-24,127029,1.8051918747594,59412.6666666667,todos,NAC,229447
2020-08-31,159663,1.83894658528556,64806.1428571429,todos,NAC,293980
2020-09-07,174280,1.81447575428935,69997.2857142857,todos,NAC,315701
2020-09-14,173893,1.84278074646644,70633.2857142857,todos,NAC,320540
2020-09-21,166097,1.85813213867015,67787.2857142857,todos,NAC,308414
2020-09-28,167034,1.82029162819339,67228.5714285714,todos,NAC,303566
2020-10-05,163147,1.86401866544667,66614.7142857143,todos,NAC,303156
2020-10-12,163877,1.84877257947955,66502,todos,NAC,301637
2020-10-19,167964,1.87735027522465,68954.5714285714,todos,NAC,314718
2020-10-26,158387,1.87861787690806,65082.7142857143,todos,NAC,297192
2020-11-02,171556,1.86364259256769,70167,todos,NAC,319613
2020-11-09,159676,1.87079652202989,65412.1428571429,todos,NAC,298209
2020-11-16,154915,1.92720193135257,64741.2857142857,todos,NAC,298274
2020-11-23,168259,1.88866916065256,69309.5714285714,todos,NAC,316908
2020-11-30,161137,1.96557246031565,68254.2857142857,todos,NAC,316643
2020-12-07,155853,1.91590018343266,64912.8571428571,todos,NAC,298537
2020-12-14,126192,1.89434950110704,60819.6666666667,todos,NAC,238726
2020-12-21,139017,2.05599031669619,60177.2857142857,todos,NAC,282224
2020-12-28,142315,2.10981770625459,62956.5714285714,todos,NAC,298381
2021-01-04,157271,1.85335994186607,64076.2857142857,todos,NAC,291263
2021-01-11,150101,1.83821178905273,60838.2857142857,todos,NAC,275767
2021-01-18,151802,1.83737176845343,61404.7142857143,todos,NAC,278031
2021-01-25,143094,1.86441679492417,58518.4285714286,todos,NAC,266535
2021-02-01,147822,1.90156771642444,61261,todos,NAC,281005
2021-02-08,137633,1.97805794966379,58278.2857142857,todos,NAC,270315
2021-02-15,138175,1.85914092627375,56357.4285714286,todos,NAC,256327
2021-02-22,139892,1.95380567354272,58973,todos,NAC,272919
2021-03-01,127569,1.93233966532195,53503.5714285714,todos,NAC,246956
2021-03-08,138134,1.9260257973182,57677.2857142857,todos,NAC,265607
2021-03-15,138339,1.94170777140077,58090,todos,NAC,268291
2021-03-22,133819,1.97454988886651,56841,todos,NAC,264068
2021-03-29,128944,1.98028747752196,54823.4285714286,todos,NAC,254820
2021-04-05,143266,1.91653616866391,59666.8571428571,todos,NAC,274402
2021-04-12,137733,1.93875741381638,57706.1428571429,todos,NAC,266210
2021-04-19,138398,1.97846996478663,58827,todos,NAC,273391
2021-04-26,131937,1.99352983330944,56293.5714285714,todos,NAC,262118
2021-05-03,155876,1.76201860358457,60805.5714285714,todos,NAC,269763
2021-05-10,142937,1.93575732137308,59807.8571428571,todos,NAC,275718
2021-05-17,128519,2.01261301274476,55236.2857142857,todos,NAC,258135
2021-05-24,139227,2.02231453147015,60114.5714285714,todos,NAC,281575
2021-05-31,145781,1.99409614625772,62129.8571428571,todos,NAC,289128
2021-06-07,144050,1.86166407137356,58710.1428571429,todos,NAC,266921
2021-06-14,127380,2.03618766146408,55037.1428571429,todos,NAC,257880
2021-06-21,125862,1.96188826590323,53223.2857142857,todos,NAC,246701
2021-06-28,131259,1.97697117699159,55640.2857142857,todos,NAC,258223
2021-07-05,134034,1.97699798557214,57004.7142857143,todos,NAC,264999
2021-07-12,125217,2.01397817196485,53901.7142857143,todos,NAC,252095
2021-07-19,133987,1.99458884158895,57294.7142857143,todos,NAC,267076
2021-07-26,151953,1.87339131102929,62200.5714285714,todos,NAC,283451
2021-08-02,140463,1.91443501420805,58376,todos,NAC,268169
2021-08-09,141506,1.95417390274167,59673.5714285714,todos,NAC,276209
2021-08-16,143203,1.94959026519162,60295.1428571429,todos,NAC,278863
2021-08-23,138295,1.96210193980859,58472.7142857143,todos,NAC,271014
2021-08-30,134175,2.01377856242659,57669.1428571429,todos,NAC,269509
2021-09-06,143086,1.91777365885793,59287.7142857143,todos,NAC,271928
2021-09-13,132725,2.06689877741236,58130,todos,NAC,274185
2021-09-20,130839,2.00929359472918,56246.2857142857,todos,NAC,262885
2021-09-27,128576,1.98912140689674,54898.4285714286,todos,NAC,255713
2021-10-04,153276,2.00927890821304,64617.1428571429,todos,NAC,299044
2021-10-11,129698,2.09720910072746,57282.8571428571,todos,NAC,271282
2021-10-18,127484,2.07939664416294,56018.7142857143,todos,NAC,264647
2021-10-25,126503,2.11105617302149,56158,todos,NAC,266603
2021-11-01,125113,2.14027743101522,56089.4285714286,todos,NAC,267513
2021-11-08,122082,2.12056206309668,54271,todos,NAC,257815
2021-11-15,122583,2.11801085405625,54482.8571428571,todos,NAC,258797
2021-11-22,126348,2.06444730404536,55209.5714285714,todos,NAC,260119
2021-11-29,123771,2.12135714708635,55180.4285714286,todos,NAC,262492
2021-12-06,119537,2.13742265178296,53482.4285714286,todos,NAC,254840
2021-12-13,111786,2.18709292489464,50862.8571428571,todos,NAC,244254
2021-12-20,107254,2.33328626139571,50713.5714285714,todos,NAC,247741
2021-12-27,115465,2.3263317218692,54596.5714285714,todos,NAC,266711
2022-01-03,117629,2.03311584336521,50791.2857142857,todos,NAC,237910
2022-01-10,102775,2.12600933032325,45897.7142857143,todos,NAC,218509
2022-01-17,102752,2.14953521827222,46232.7142857143,todos,NAC,220877
2022-01-24,105408,2.17131020899123,47715.7142857143,todos,NAC,228602
2022-01-31,112209,2.16377089487985,50649.7142857143,todos,NAC,242339
2022-02-07,118649,2.11512353191054,52720.8571428571,todos,NAC,250397
2022-02-14,119410,2.11266736671253,52961.2857142857,todos,NAC,251319
2022-02-21,129003,2.02707272251705,55613.2857142857,todos,NAC,260290
2022-02-28,143602,1.83870383854368,57315.1428571429,todos,NAC,257604
2022-03-07,136612,1.93493304673486,57088.1428571429,todos,NAC,263005
2022-03-14,134670,2.06769091321314,58964.4285714286,todos,NAC,278081
2022-03-21,139152,1.99194912887357,59386,todos,NAC,276550
2022-03-28,133100,2.02943200945228,57512.4285714286,todos,NAC,269487
2022-04-04,145217,1.9578219460364,61326.5714285714,todos,NAC,284069
2022-04-11,143516,1.916443065745,59583.4285714286,todos,NAC,273568
2022-04-18,156120,1.85769369734693,63667.2857142857,todos,NAC,289551
2022-04-25,138249,2.09093881358044,60736.2857142857,todos,NAC,286905
2022-05-02,143102,2.01955803982278,61697.4285714286,todos,NAC,288780
2022-05-09,140213,2.02995870488258,60589.8571428571,todos,NAC,283916
2022-05-16,148069,1.95429993428468,62438.2857142857,todos,NAC,288999
2022-05-23,143486,2.01819291229799,61843.8571428571,todos,NAC,289421
2022-05-30,144178,2.00279046294787,61805,todos,NAC,288457
2022-06-06,138766,2.04484107000903,60267.5714285714,todos,NAC,283107
2022-06-13,130125,2.09168204461097,57302.8571428571,todos,NAC,270995
2022-06-20,134725,2.02869280700518,58226.4285714286,todos,NAC,272860
2022-06-27,138307,2.01062605544878,59427,todos,NAC,277682
2022-07-04,135659,2.02343035537373,58556.2857142857,todos,NAC,274235
2022-07-11,125176,2.03653326782163,54198,todos,NAC,254210
2022-07-18,130384,2.02220455247418,56225.2857142857,todos,NAC,263193
2022-07-25,130634,2.048273574268,56825.7142857143,todos,NAC,267146
2022-08-01,126353,2.07441530882064,55468.4285714286,todos,NAC,261926
2022-08-08,139316,1.96324594247022,58915.5714285714,todos,NAC,273093
2022-08-15,139159,2.01561434662812,59938.8571428571,todos,NAC,280413
2022-08-22,135864,2.07876888811979,59729.8571428571,todos,NAC,282245
2022-08-29,164431,1.92590975501399,68065.7142857143,todos,NAC,312029
2022-09-05,141062,2.06495820322716,61657.7142857143,todos,NAC,290542
2022-09-12,139172,2.06484236656057,60892,todos,NAC,287072
2022-09-19,155417,1.91203380891674,64300.7142857143,todos,NAC,294688
2022-09-26,146366,2.02379872887993,63135.8571428571,todos,NAC,295585
2022-10-03,141191,2.04661027070426,61305.1428571429,todos,NAC,287945
2022-10-10,147121,2.06462907223645,64353.5714285714,todos,NAC,303354
2022-10-17,153050,2.01660888737618,65917.4285714286,todos,NAC,308372
2022-10-24,151019,2.07179647948155,57828.875,todos,NAC,311612
2022-10-31,140359,2.06281731638544,61389.4285714286,todos,NAC,289367
2022-11-07,155401,1.98042734459912,66106.4285714286,todos,NAC,307344
2022-11-14,148767,2.00344054375328,63595.1428571429,todos,NAC,296399
2022-11-21,161029,1.96019209877905,67883,todos,NAC,314152
2022-11-28,151152,1.98585808385377,64181.8571428571,todos,NAC,298121
2022-12-05,146517,1.94494826742243,61565,todos,NAC,284438
2022-12-12,150848,1.92142817808385,62771.4285714286,todos,NAC,288552
2022-12-19,113482,2.09106974535215,49606.2857142857,todos,NAC,233762
2022-12-26,106946,2.24462230004248,49289,todos,NAC,238077
2023-01-02,119187,1.92467849719995,49645.1428571429,todos,NAC,228329
2023-01-09,117413,1.87880659255298,48177.7142857143,todos,NAC,219831
2023-01-16,116241,1.91002840892812,48301.1428571429,todos,NAC,221867
2023-01-23,120660,1.92786123687185,50431,todos,NAC,232357
2023-01-30,117080,1.99505245969826,50042.1428571429,todos,NAC,233215
2023-02-06,120859,1.94194253358022,50782.1428571429,todos,NAC,234616
2023-02-13,107739,1.93634807815712,45182.2857142857,todos,NAC,208537
2023-02-20,125455,1.85905919389445,51183,todos,NAC,232826
2023-02-27,125028,1.82925454958418,50509.2857142857,todos,NAC,228537
2023-03-06,118421,1.9805420100126,50369,todos,NAC,234162
2023-03-13,97288,2.06720894283688,42567.8571428571,todos,NAC,200687
2023-03-20,87062,2.10147636437155,38570.5714285714,todos,NAC,182932
2023-03-27,88594,2.0554057697226,38610.1428571429,todos,NAC,181677
2023-04-03,80854,2.14165015369572,36251.4285714286,todos,NAC,172906
2023-04-10,82353,2.0912280744894,36336.5714285714,todos,NAC,172003
2023-04-17,85152,2.0759060262753,37371.1428571429,todos,NAC,176446
2023-04-24,80942,2.14253788895561,36226.4285714286,todos,NAC,172643
2023-05-01,81801,2.09847955656916,36162.5714285714,todos,NAC,171337
2023-05-08,84059,2.07630871784559,36888.1428571429,todos,NAC,174158
2023-05-15,85375,2.10751983078656,37813.7142857143,todos,NAC,179321
2015-12-28,14168,3.24722563639865,19934.6666666667,todos,CDMX,45636
2016-01-04,50176,2.77977890362341,26986.2857142857,todos,CDMX,138728
2016-01-11,58095,2.51379486250331,28518.1428571429,todos,CDMX,141532
2016-01-18,48665,2.80054176990277,26285.5714285714,todos,CDMX,135334
2016-01-25,49151,2.85055910012489,26768,todos,CDMX,138225
2016-02-01,46548,2.95301875065017,26112.4285714286,todos,CDMX,136239
2016-02-08,51029,2.86689668645589,28188.4285714286,todos,CDMX,146290
2016-02-15,52403,2.76458337694402,28059.2857142857,todos,CDMX,144012
2016-02-22,46768,2.86078378234525,25949.2857142857,todos,CDMX,134877
2016-02-29,51656,2.96873947450769,29130.5714285714,todos,CDMX,152258
2016-03-07,56810,2.81290665262898,30581.4285714286,todos,CDMX,157260
2016-03-14,56922,2.83717710935308,30555.8571428571,todos,CDMX,156969
2016-03-21,45956,2.84447638594619,25110,todos,CDMX,129814
2016-03-28,58932,2.53940935685294,29608.8571428571,todos,CDMX,148330
2016-04-04,65841,2.51603345068301,32658.8571428571,todos,CDMX,162771
2016-04-11,59248,2.80482480905384,31927.4285714286,todos,CDMX,164244
2016-04-18,58979,2.80828722408564,31884.7142857143,todos,CDMX,164214
2016-04-25,57645,2.85606542385873,31536.2857142857,todos,CDMX,163109
2016-05-02,64910,2.61746897631084,33362.2857142857,todos,CDMX,168626
2016-05-09,61112,2.60783012271529,31431.1428571429,todos,CDMX,158906
2016-05-16,60243,2.61812969074958,31109.2857142857,todos,CDMX,157522
2016-05-23,62485,2.46728925572113,30928.8571428571,todos,CDMX,154017
2016-05-30,62261,2.56666006961612,31604.7142857143,todos,CDMX,158972
2016-06-06,52210,2.72797694190003,27832.8571428571,todos,CDMX,142620
2016-06-13,62262,2.51832796955208,31212.2857142857,todos,CDMX,156224
2016-06-20,60997,2.58961434193238,31097.5714285714,todos,CDMX,156686
2016-06-27,59329,2.70526745942051,31179,todos,CDMX,158924
2016-07-04,51091,2.63686850620773,26199,todos,CDMX,132302
2016-07-11,54673,2.71699120568633,28892.2857142857,todos,CDMX,147573
2016-07-18,53387,2.73978839902174,28315.2857142857,todos,CDMX,144820
2016-07-25,53638,2.68463503245935,28065.2857142857,todos,CDMX,142819
2016-08-01,54636,2.62518465902098,28201.5714285714,todos,CDMX,142775
2016-08-08,54466,2.67337618811214,28303.1428571429,todos,CDMX,143656
